United States,0.496,0.059,0.198,0.142,0.014,0.092
Alabama,0.472,0.055,0.195,0.16,0.021,0.097
Alaska,0.484,0.035,0.213,0.1,0.053,0.115
Arizona,0.451,0.052,0.21,0.161,0.015,0.111
Arkansas,0.42,0.054,0.262,0.159,0.014,0.091
California,0.48,0.066,0.253,0.114,0.009,0.078
Colorado,0.534,0.069,0.168,0.128,0.023,0.078
Connecticut,0.529,0.048,0.215,0.141,0.007,0.059
Delaware,0.497,0.041,0.204,0.173,0.018,0.066
Florida,0.403,0.095,0.174,0.18,0.017,0.131
Georgia,0.489,0.056,0.173,0.126,0.022,0.134
Hawaii,0.543,0.041,0.176,0.159,0.04,0.041
Idaho,0.49,0.086,0.156,0.15,0.014,0.105
Illinois,0.546,0.052,0.182,0.141,0.007,0.073
Indiana,0.533,0.044,0.177,0.148,0.01,0.088
Iowa,0.544,0.049,0.195,0.156,0.009,0.047
Kansas,0.543,0.056,0.139,0.15,0.02,0.092
Kentucky,0.47,0.039,0.255,0.158,0.014,0.064
Louisiana,0.418,0.049,0.293,0.137,0.014,0.089
Maine,0.465,0.057,0.2,0.183,0.015,0.081
Maryland,0.547,0.054,0.187,0.133,0.019,0.059
Massachusetts,0.559,0.054,0.221,0.131,0.005,0.03
Michigan,0.509,0.052,0.217,0.159,0.006,0.058
Minnesota,0.578,0.052,0.169,0.147,0.007,0.048
Mississippi,0.422,0.047,0.242,0.142,0.018,0.129
Missouri,0.52,0.057,0.144,0.164,0.013,0.101
Montana,0.43,0.08,0.208,0.181,0.018,0.083
Nebraska,0.568,0.069,0.126,0.142,0.016,0.079
Nevada,0.495,0.055,0.178,0.14,0.017,0.115
New Hampshire,0.562,0.053,0.132,0.177,0.012,0.064
New Jersey,0.557,0.054,0.166,0.138,0.005,0.079
New Mexico,0.366,0.04,0.327,0.15,0.018,0.098
New York,0.498,0.058,0.257,0.13,0.004,0.053
North Carolina,0.463,0.067,0.179,0.153,0.024,0.114
North Dakota,0.557,0.09,0.122,0.138,0.021,0.074
Ohio,0.526,0.04,0.2,0.159,0.008,0.067
Oklahoma,0.455,0.055,0.17,0.151,0.02,0.149
Oregon,0.493,0.057,0.208,0.162,0.009,0.071
Pennsylvania,0.518,0.051,0.202,0.163,0.008,0.057
Rhode Island,0.54,0.059,0.205,0.146,0.008,0.043
South Carolina,0.454,0.061,0.188,0.168,0.022,0.108
South Dakota,0.515,0.083,0.128,0.161,0.018,0.096
Tennessee,0.478,0.056,0.195,0.15,0.018,0.102
Texas,0.476,0.057,0.159,0.109,0.016,0.184
Utah,0.605,0.093,0.093,0.1,0.012,0.096
Vermont,0.484,0.048,0.239,0.175,0.01,0.044
Virginia,0.541,0.052,0.135,0.148,0.044,0.08
Washington,0.529,0.05,0.198,0.139,0.018,0.066
West Virginia,0.44,0.025,0.266,0.19,0.013,0.066
Wisconsin,0.565,0.053,0.161,0.155,0.008,0.058
Wyoming,0.511,0.071,0.115,0.162,0.018,0.123
